10% off
Abie
Armo
Bi-oui-oui
Boche
Boer-hater
Bog Irish
Bohunk
Boole
Buffle
Camel Jockey
China Swede
Christ Killer
Coolie
Curry-Muncher
Dago
Eyetie
Golliwog
Groid
Gyppo
Heeb
Hun
Injun
Jap
Jerry
Jigaboo
Lebo
Limey
Mooncricket
Niglet
Nig-nog
Nigger
Oreo
Paddy
Pancake Face
Pepper
Pickaninny
Plastic Paddy
Polack
Quashie
Raghead
Redskin
Roundeye
Sambo
Seppo
Sheeny
Sheep shagger
Shylock
Smoked Irish
Spade
Spearchucker
Spic
Spook
Tar baby
Test_Slur_1
Test_Slur_2
Wetback
Wog
Whitey
